num_env_steps_sampled_lifetime,num_episodes_lifetime,num_env_steps_trained_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,timers/training_iteration_time_sec,timers/restore_workers_time_sec,timers/training_step_time_sec,env_runners/episode_return_min,env_runners/episode_return_max,env_runners/num_episodes,env_runners/episode_len_min,env_runners/num_env_steps_sampled,env_runners/episode_return_mean,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_len_mean,env_runners/episode_len_max,env_runners/sample,env_runners/episode_duration_sec_mean,num_agent_steps_sampled_lifetime/default_agent,fault_tolerance/num_healthy_workers,fault_tolerance/num_in_flight_async_reqs,fault_tolerance/num_remote_worker_restarts,perf/cpu_util_percent,perf/ram_util_percent,env_runners/module_episode_returns_mean/default_policy,env_runners/num_agent_steps_sampled_lifetime/default_agent,env_runners/num_agent_steps_sampled/default_agent,env_runners/num_module_steps_sampled_lifetime/default_policy,env_runners/num_module_steps_sampled/default_policy,env_runners/agent_episode_returns_mean/default_agent,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained,learners/default_policy/vf_loss_unclipped,learners/default_policy/mean_kl_loss,learners/default_policy/curr_entropy_coeff,learners/default_policy/policy_loss,learners/default_policy/module_train_batch_size_mean,learners/default_policy/total_loss,learners/default_policy/num_module_steps_trained,learners/default_policy/curr_kl_coeff,learners/default_policy/diff_num_grad_updates_vs_sampler_policy,learners/default_policy/entropy,learners/default_policy/num_trainable_parameters,learners/default_policy/gradients_default_optimizer_global_norm,learners/default_policy/vf_explained_var,learners/default_policy/num_non_trainable_parameters,learners/default_policy/vf_loss,learners/default_policy/default_optimizer_learning_rate
4000,52,4066,False,1,94ea2_00001,2024-12-08_07-55-08,1733640908,8.66448426246643,8.66448426246643,1034571,DanielAhmed,192.168.137.208,8.66448426246643,1,4.089484386000549,4.538018168997951,0.020024330995511264,8.650672435760498,2.193450927734375e-05,8.650547981262207,-38.68382487147493,10.0,52,1,4000,-6.6260115358306955,4000,57.90384615384614,100,3.7600590124306352,0.7364098174422486,4000,14,0,0,35.284615384615385,83.22307692307693,-6.6260115358306955,4000,4000,4000,4000,-6.6260115358306955,4066,1224441,0,0.7687491230026353,4066,4.033975601196289,0.0018625459633767605,0.01,0.047074902802705765,4066,1.1354336738586426,4066,0.25,0.0,2.076409339904785,1224441,0.41243642568588257,0.0038788318634033203,0,2.2163829803466797,0.0001
8000,108,8136,False,2,94ea2_00001,2024-12-08_07-55-14,1733640914,6.216017007827759,14.88050127029419,1034571,DanielAhmed,192.168.137.208,14.88050127029419,2,4.071574659680482,4.5314990334279726,0.019984787255525587,7.426344156265259,1.6450881958007812e-05,7.426206827163696,-42.77862461505703,10.0,56,1,4000,-11.646056173971429,64000,68.11499999999998,100,3.7580242833469812,0.7029188723200056,8000,14,0,0,31.522222222222222,87.87777777777778,-11.646056173971429,12000,4000,12000,4000,-11.646056173971429,4070,1224441.0,0.0,0.7686973994941364,4070,2.5057077407836914,0.0013910502893850207,0.01,0.06031559035181999,4066.0004000000004,1.249746561050415,4070,0.125,1.0,2.0766513347625732,1224441.0,0.20852646231651306,0.008765637874603271,0.0,2.4196994304656982,0.0001
12000,160,12202,False,3,94ea2_00001,2024-12-08_07-55-20,1733640920,6.199444770812988,21.079946041107178,1034571,DanielAhmed,192.168.137.208,21.079946041107178,3,4.0540788829238155,4.52462896841362,0.01996798879308626,7.013046820958455,1.5020370483398438e-05,7.012910445531209,-43.041365427356695,10.0,52,1,4000,-14.956579954708513,180000,76.67714285714284,100,3.7542284593613546,0.620837337761685,12000,14,0,0,31.65555555555555,88.36666666666666,-14.956579954708513,24000,4000,24000,4000,-14.956579954708513,4066,1224441.0,0.0,0.7685983261670071,4066,5.458544731140137,0.002746058162301779,0.01,-0.06281934678554535,4066.0007920000007,1.3660261631011963,4066,0.0625,2.0,2.0736565589904785,1224441.0,3.2676331996917725,0.00537484884262085,0.0,2.898477792739868,0.0001
16000,220,16276,False,4,94ea2_00001,2024-12-08_07-55-26,1733640926,6.245938062667847,27.325884103775024,1034571,DanielAhmed,192.168.137.208,27.325884103775024,4,4.03754279580465,4.5175243009995345,0.01993357811498409,6.8180201053619385,1.436471939086914e-05,6.817878186702728,-42.952634431841616,10.0,60,1,4000,-13.189514307529693,352000,69.21857142857145,100,3.749032824861677,0.5304467153994481,16000,14,0,0,32.66666666666666,88.24444444444445,-13.189514307529693,40000,4000,40000,4000,-13.189514307529693,4074,1224441.0,0.0,0.7684457025505717,4074,5.189440727233887,0.0029212096706032753,0.01,0.08453398942947388,4066.0019761200006,1.3712176084518433,4074,0.03125,3.0,2.0722577571868896,1224441.0,2.2500548362731934,0.004136860370635986,0.0,2.6144468784332275,0.0001
20000,279,20349,False,5,94ea2_00001,2024-12-08_07-55-33,1733640933,6.634421348571777,33.9603054523468,1034571,DanielAhmed,192.168.137.208,33.9603054523468,5,4.020549485076816,4.514981151559385,0.01991049994368963,6.778644371032715,1.3828277587890625e-05,6.77850079536438,-42.86569128783396,10.0,59,1,4000,-10.804653075016963,580000,69.78285714285715,100,3.742582544927856,0.5369373594263123,20000,14,0,0,32.05555555555556,88.36666666666666,-10.804653075016963,60000,4000,60000,4000,-10.804653075016963,4073,1224441.0,0.0,0.7682396159753484,4073,3.4447426795959473,0.0017768021207302809,0.01,0.095550537109375,4066.0038364784004,1.144481897354126,4073,0.015625,4.0,2.0740861892700195,1224441.0,2.6806132793426514,0.004021048545837402,0.0,2.139233350753784,0.0001
24000,334,24417,False,6,94ea2_00001,2024-12-08_07-55-39,1733640939,6.134732723236084,40.095038175582886,1034571,DanielAhmed,192.168.137.208,40.095038175582886,6,4.0034678056559105,4.507752374653982,0.019845704304253507,6.669050931930542,1.3470649719238281e-05,6.668903271357219,-42.62500798457212,10.0,55,1,4000,-10.871142809371968,864000,76.00000000000001,100,3.735015191097943,0.5837199782397616,24000,14,0,0,31.066666666666663,88.40000000000002,-10.871142809371968,84000,4000,84000,4000,-10.871142809371968,4068,1224441.0,0.0,0.7679895241251735,4068,2.6611807346343994,0.0027789955493062735,0.01,0.11147259175777435,4066.0058594320203,1.1686733961105347,4068,0.0078125,5.0,2.0748672485351562,1224441.0,2.6880545616149902,0.013350307941436768,0.0,2.1558120250701904,0.0001
28000,386,28483,False,7,94ea2_00001,2024-12-08_07-55-45,1733640945,6.012689113616943,46.10772728919983,1034571,DanielAhmed,192.168.137.208,46.10772728919983,7,3.9867027278194342,4.499240941217376,0.019791049431270618,6.573381458009992,1.331738063267299e-05,6.573233876909528,-42.62500798457212,10.0,52,1,4000,-10.886476085713738,1204000,73.74714285714286,100,3.726523373277234,0.5649940055093613,28000,14,0,0,35.4625,88.51249999999999,-10.886476085713738,112000,4000,112000,4000,-10.886476085713738,4066,1224441.0,0.0,0.7676884075948044,4066,5.405004024505615,0.0022828890942037106,0.01,-0.09487629681825638,4066.0078415429202,0.9590833783149719,4066,0.00390625,6.0,2.073676824569702,1224441.0,2.7444229125976562,0.012441813945770264,0.0,2.1493570804595947,0.0001
32000,440,32551,False,8,94ea2_00001,2024-12-08_07-55-51,1733640951,6.023085594177246,52.130812883377075,1034571,DanielAhmed,192.168.137.208,52.130812883377075,8,3.970342660271242,4.490693443935157,0.019725203577014253,6.5029624700546265,1.3321638107299805e-05,6.5028137266635895,-42.999807235546946,10.0,54,1,4000,-13.69622120961021,1600000,75.38,100,3.7172579889853403,0.5772294171405625,32000,14,0,0,32.34444444444444,88.56666666666666,-13.69622120961021,144000,4000,144000,4000,-13.69622120961021,4068,1224441.0,0.0,0.76733653433833,4068,4.418701648712158,0.0017790155252441764,0.01,0.045403994619846344,4066.0099834256584,1.2326480150222778,4068,0.001953125,7.0,2.0703632831573486,1224441.0,5.466711521148682,0.08789503574371338,0.0,2.415881395339966,0.0001
36000,499,36624,False,9,94ea2_00001,2024-12-08_07-55-57,1733640957,6.079283237457275,58.21009612083435,1034571,DanielAhmed,192.168.137.208,58.21009612083435,9,3.95386709505828,4.483021586136014,0.019685681431150587,6.4543032381269665,1.2821621365017361e-05,6.454156266318427,-42.999807235546946,10.0,59,1,4000,-11.652312944614739,2052000,69.85000000000002,100,3.7073243238543068,0.5387497944356126,36000,14,0,0,31.966666666666658,88.71111111111111,-11.652312944614739,180000,4000,180000,4000,-11.652312944614739,4073,1224441.0,0.0,0.7669442733424258,4073,4.308627128601074,0.0023422380909323692,0.01,0.011970087885856628,4066.012781686588,0.7202730178833008,4073,0.0009765625,8.0,2.0654053688049316,1224441.0,1.9270397424697876,0.16096484661102295,0.0,1.4579048156738281,0.0001
40000,559,40698,False,10,94ea2_00001,2024-12-08_07-56-03,1733640963,5.995348215103149,64.2054443359375,1034571,DanielAhmed,192.168.137.208,64.2054443359375,10,3.9375671395477903,4.47460658623466,0.019626237796748425,6.407066583633423,1.2445449829101563e-05,6.40691864490509,-42.79654566707057,10.0,60,1,4000,-10.752252657629104,2560000,68.87857142857143,100,3.6968280981964403,0.5322736859924874,40000,14,0,0,35.4625,88.525,-10.752252657629104,220000,4000,220000,4000,-10.752252657629104,4074,1224441.0,0.0,0.766504382531406,4074,3.757671594619751,0.002177413087338209,0.01,-0.11595070362091064,4066.0163229839563,0.8531457781791687,4074,0.00048828125,9.0,2.0660133361816406,1224441.0,2.700590133666992,0.20615428686141968,0.0,1.9795091152191162,0.0001
