Wall time,Step,Value
1713800279.408584,6,10.0
1713800279.409468,12,10.0
1713800279.410258,99,-11.017603874206543
1713800279.410965,111,-11.844395637512207
1713800279.411514,129,-5.7361650466918945
1713800279.411883,150,-6.502798557281494
1713800279.412274,156,9.993172645568848
1713800279.412643,162,-6.006704330444336
1713800279.413021,201,-6.67857551574707
1713800279.413411,225,-5.402170181274414
1713800279.413795,252,-6.592589378356934
1713800279.414164,261,-11.21494197845459
1713800279.414549,276,-6.156863212585449
1713800279.414928,297,-4.751546859741211
1713800279.415306,303,10.0
1713800279.415685,312,-6.212082386016846
1713800279.416067,315,-6.581706523895264
1713800279.416452,342,9.763840675354004
1713800279.416843,351,-6.420768737792969
1713800279.417158,399,-6.103743076324463
1713800279.417475,414,-5.716811180114746
1713800279.417829,426,-7.256881237030029
1713800279.418154,462,-6.451441287994385
1713800279.418476,471,-7.765185356140137
1713800279.418821,474,-7.9682230949401855
1713800279.419146,498,-4.527877330780029
1713800279.41955,498,-5.898489475250244
1713800279.419874,501,-3.934445381164551
1713800279.420208,528,-5.415728569030762
1713800279.420551,543,-4.5214948654174805
1713800279.420958,546,-7.1281352043151855
1713800279.421353,570,-5.9121527671813965
1713800279.421754,585,-6.89871072769165
1713800279.422154,612,-5.848843574523926
1713800279.422535,636,-6.68648624420166
1713800279.422918,651,-5.640854358673096
1713800279.42331,660,-7.43810510635376
1713800279.423692,675,9.95321273803711
1713800279.424076,681,10.0
1713800279.424474,696,-7.736754894256592
1713800279.42486,753,-6.0680742263793945
1713800279.425288,762,-7.037906646728516
1713800279.425679,768,10.0
1713800279.42608,786,-6.158133029937744
1713800279.426484,816,-5.085024356842041
1713800279.42687,828,-6.34720516204834
1713800279.427273,840,9.960803985595703
1713800279.427685,876,-6.1588521003723145
1713800279.42807,888,-5.835723876953125
1713800279.428458,909,-5.24323034286499
1713800279.42885,915,-6.762351989746094
1713800279.429248,927,-6.178339004516602
1713800279.429646,948,-5.932938098907471
1713800279.430043,966,-7.510601043701172
1713800279.430434,972,10.0
1713800279.430824,987,-7.6509809494018555
1713800279.431217,1029,-6.229611396789551
1713800279.431612,1035,-6.429257392883301
1713800279.432005,1053,-8.276302337646484
1713800279.432395,1068,-6.403465270996094
1713800279.432784,1068,9.94494915008545
1713800279.433182,1074,10.0
1713800279.433581,1095,-8.260614395141602
1713800279.434026,1107,-5.640254020690918
1713800279.434455,1113,-5.440946102142334
1713800279.434866,1155,-7.069798946380615
1713800279.435285,1167,9.034796714782715
1713800279.435686,1188,-6.4968156814575195
1713800279.436112,1200,-5.3619794845581055
1713800279.436539,1221,-7.75123405456543
1713800279.436936,1233,-7.101222515106201
1713800279.43734,1257,-6.480867385864258
1713800279.437736,1260,-6.707752704620361
1713800279.438163,1269,-6.141461372375488
1713800279.438572,1299,-7.2269792556762695
1713800279.438972,1338,-6.412850379943848
1713800279.439378,1341,-7.278501510620117
1713800279.43978,1344,-6.5805182456970215
1713800279.44017,1377,-5.888687610626221
1713800279.440571,1383,-7.136877059936523
1713800279.440975,1416,-9.193303108215332
1713800279.441369,1461,-5.134615421295166
1713800279.441762,1464,-6.158294677734375
1713800279.442189,1482,-7.131481170654297
1713800279.442583,1503,-6.488930702209473
1713800279.442993,1506,-7.238663673400879
1713800279.443407,1512,10.0
1713800279.443809,1542,-5.5059709548950195
1713800279.444206,1554,-5.8141560554504395
1713800279.444601,1566,-7.578804969787598
1713800279.445009,1578,-6.4760284423828125
1713800279.445407,1611,8.673827171325684
1713800279.445805,1626,-8.073044776916504
1713800279.446206,1641,9.267329216003418
1713800279.446552,1647,-5.989816665649414
1713800279.446885,1677,-6.426839351654053
1713800279.44723,1701,-2.4021387100219727
1713800279.447579,1710,-6.048818588256836
1713800279.447952,1746,-7.594820499420166
1713800279.448293,1779,-9.901996612548828
1713800279.448617,1785,-6.092801570892334
1713800279.448945,1788,5.727304458618164
1713800279.449311,1818,-6.409416675567627
1713800279.449655,1836,-2.6354801654815674
1713800279.449985,1893,-6.851497173309326
1713800279.450394,1929,-5.713392734527588
1713800279.450807,1947,-6.709479331970215
1713800279.451207,1995,-6.381932735443115
1713800279.451603,1995,-6.862740516662598
1713800279.451994,2004,-7.410828590393066
1713800279.452405,2034,-5.3619608879089355
1713800279.452841,2058,-3.365734100341797
1713800279.453251,2067,-6.3336567878723145
1713800279.45366,2100,-6.521492958068848
1713800279.454084,2100,-6.253701210021973
1713800279.4545,2106,-4.9532012939453125
1713800279.454901,2106,10.0
1713800279.455309,2118,9.929143905639648
1713800279.456081,2184,-7.757546424865723
1713800279.456517,2187,-6.954924583435059
1713800279.45706,2193,10.0
1713800279.458461,2196,-6.602602481842041
1713800279.459454,2250,-6.558819770812988
1713800279.460043,2286,-7.930305004119873
1713800279.461775,2316,-4.405029296875
1713800279.463855,2337,-5.070165157318115
1713800279.465059,2367,-5.433578014373779
1713800279.465863,2394,-8.465765953063965
1713800279.466364,2406,-6.663994312286377
1713800279.466828,2406,-9.182899475097656
1713800279.467286,2445,-5.967806816101074
1713800279.467718,2445,-6.783572673797607
1713800279.468161,2451,10.0
1713800279.468581,2457,10.0
1713800279.469015,2499,-5.7650957107543945
1713800279.469447,2508,-5.745701313018799
1713800279.470067,2538,-5.522683143615723
1713800279.470505,2547,-6.805931091308594
1713800279.470916,2547,-4.626704692840576
1713800279.471365,2574,-6.591813087463379
1713800279.471789,2589,-6.4263715744018555
1713800279.472239,2598,-5.747314453125
1713800279.472673,2643,-6.051818370819092
1713800279.473085,2658,-7.338133811950684
1713800279.47353,2682,-7.55244255065918
1713800279.473946,2688,-7.535885810852051
1713800279.474372,2715,-6.969064235687256
1713800279.474804,2751,-5.270846843719482
1713800279.47522,2763,-7.0940423011779785
1713800279.475593,2769,10.0
1713800279.475971,2787,-3.597705602645874
1713800279.4763,2805,-6.256817817687988
1713800279.476655,2808,-6.760371208190918
1713800279.477015,2844,-5.563223361968994
1713800279.47734,2862,-6.786511421203613
1713800279.477673,2922,-6.7043070793151855
1713800279.478063,2928,9.58067512512207
1713800279.478386,2928,10.0
1713800279.478737,2934,-7.331548690795898
1713800279.479149,2940,10.0
1713800279.479566,2940,-2.968719959259033
1713800279.479996,2955,9.94482135772705
1713800279.480423,2961,10.0
