steps,reward,lenght
0,0,0
499,-91.68057405015398,499
642,-1.3293288101003444,143
1142,-131.13230515740574,500
1642,-134.3325411611194,500
1643,10.0,1
1649,9.822213626995142,6
1690,7.896215313802459,41
1767,4.391746711471226,77
2267,-111.09930553953976,500
2767,-94.15075667094746,500
3267,-126.66280451638708,500
3268,10.0,1
3282,9.488172311414978,14
3782,-115.14321719339043,500
4282,-53.10102084708772,500
4283,10.0,1
4783,-116.25166685100716,500
5283,-66.2843582954321,500
5309,8.548440344042024,26
5313,9.860133276986659,4
5324,9.705441524405765,11
5348,8.709569066012612,24
5848,-97.01233282961438,500
6348,-18.47178952465515,500
6848,-58.099209164972656,500
6857,9.51230444004382,9
6858,10.0,1
7358,-72.63680386862268,500
7858,-29.84495269012397,500
8358,-29.895924681172406,500
8858,-33.160879286673385,500
9358,-23.5838594304535,500
9858,-27.163084161827157,500
10358,-48.23513485213372,500
10359,10.0,1
10859,-20.19181493151831,500
11359,-62.178597361204325,500
11859,-94.53242491703483,500
12359,-78.36451139608221,500
12859,-46.71783777722548,500
13359,-69.37457319111653,500
13365,9.722147305502943,6
13829,-4.026450932270935,464
14329,-52.40608469325955,500
14829,-41.36841376963018,500
15329,-77.25686915947801,500
15829,-38.243404013401694,500
16002,6.440713032158834,173
16502,-87.81986903285902,500
17002,-59.28125014685917,500
17502,-24.98058378431919,500
18002,-149.5393980679539,500
18502,-60.29762884277458,500
19002,-129.70024280610815,500
19502,-55.71231320702352,500
20002,-31.31119773173787,500
20092,6.83810886784243,90
20098,9.715813725948502,6
20598,-86.81496001541336,500
21098,-50.69262764247803,500
21159,8.073103211106742,61
21659,-27.406771215099745,500
22159,-94.88248915025959,500
22160,10.0,1
22660,-68.74181409670346,500
23160,-43.87674129539171,500
23660,-16.696915574382484,500
24160,-35.04678819886188,500
24161,10.0,1
24661,-76.16701705807752,500
24667,9.80248541922038,6
25167,-35.96420182365573,500
25667,-47.80956370703706,500
26167,-57.82242273051512,500
26667,-48.055288081064816,500
26674,9.624311231000426,7
27174,-36.30583497086841,500
27674,-44.457436803156746,500
28174,-63.20355139542234,500
28674,-59.19467206916076,500
29174,-38.55098360698118,500
29674,-76.34394590171462,500
30174,-61.09603601176634,500
30674,-42.73138935312866,500
31174,-58.570157710966804,500
31674,-44.48904628077257,500
32174,-91.39332749640613,500
32674,-103.93970799487344,500
33174,-41.943323136441975,500
33674,-44.059255310606844,500
34174,-16.727715900085972,500
34674,-41.25046856108716,500
35174,-36.967344140140675,500
35674,-30.666479810029085,500
36174,-43.48864257878813,500
36674,-44.900966039700805,500
37174,-31.559322421307037,500
37177,9.921011005122141,3
37677,-56.101982287346445,500
38177,-44.06543860405397,500
38677,-32.33465079560899,500
38679,9.955552867815673,2
39179,-89.55542222390272,500
39182,9.949596781799537,3
39187,9.860103987560755,5
39687,-18.617248107618522,500
40187,-37.17975435685328,500
40687,-55.95067742214509,500
41187,-42.22427059054894,500
41687,-77.78050459204476,500
42187,-25.62940940717709,500
42687,-47.780237742811366,500
43187,-10.753355919370016,500
43194,9.662740340902054,7
43202,9.63261361401361,8
43702,-28.990629539985047,500
44202,-34.22354069827563,500
44702,-69.62797990332417,500
45202,-30.485063316505745,500
45702,-49.80537269606475,500
46202,-64.11480978598775,500
46702,-35.10275028491991,500
47202,-46.63197604473252,500
47702,-74.77167023943169,500
48202,-23.403901131334827,500
48702,-57.09381270926944,500
49202,-21.150632765515578,500
49702,-68.39743374831893,500
50202,-69.55959560497905,500
50702,-21.394439857676538,500
51202,-31.689637211759653,500
51702,-63.838163937713894,500
52202,-43.266581562602894,500
52702,-76.13134320430763,500
53202,-60.65021979767174,500
53702,-74.82575805333293,500
54202,-78.41739906808758,500
54702,-44.24620120670452,500
55202,-46.583348256906696,500
55702,-53.75676566711547,500
56202,-76.37309686751922,500
56702,-76.59837649266584,500
57202,-85.42859588524844,500
57702,-40.33817770670781,500
58202,-38.33228770763066,500
58702,-117.733502893266,500
59202,-36.14595363394325,500
59702,-50.696049204476495,500
60202,-51.673052380085174,500
60702,-81.26647799292303,500
61202,-31.054774208113724,500
61203,10.0,1
61703,-67.28517185700073,500
62203,-17.856088908706933,500
62703,-21.957626611798958,500
63203,-55.58963339383007,500
63204,10.0,1
63704,-84.93727939654025,500
64204,-42.70445578505451,500
64704,-42.303022636811505,500
65204,-38.63013840168694,500
65704,-53.88288983169003,500
66204,-69.51331957216618,500
66704,-31.20824961823961,500
67204,-66.6739347110968,500
67206,9.95130553301232,2
67207,10.0,1
67707,-28.8260243409717,500
68207,-26.418109760826034,500
68707,-37.57773634194039,500
69207,-17.48404946058009,500
69707,-63.905449092960765,500
70207,-62.78218738544804,500
70707,-15.741193030386736,500
71207,-22.29911920927643,500
71707,-31.139333666814473,500
72207,-47.81727163079492,500
72707,-24.514385173707808,500
73207,-43.91645973676891,500
73707,-30.791758658308883,500
74207,-22.442265170691673,500
74348,6.0622084293825775,141
74848,-57.39867976055201,500
75348,-38.655054039986645,500
75848,-44.4154525563423,500
76348,-21.386970695670968,500
76848,-40.65154246460252,500
77348,-71.96100015301569,500
77848,-58.24550284937819,500
78348,-42.063952291006096,500
78848,-57.5468516411002,500
79134,2.4797743094281834,286
79634,-42.21384113688335,500
80134,-19.720467730360895,500
80634,-45.98440673317912,500
81134,-31.7565267881191,500
81634,-41.86110398173017,500
82134,-45.26829775288025,500
82634,-44.44864257416492,500
83134,-90.12672170711274,500
83634,-15.105497216816998,500
84134,-38.86475091464425,500
84135,10.0,1
84137,9.963569061783534,2
84637,-42.55736826525831,500
85137,-68.32269209991404,500
85637,-41.72665476379659,500
86137,-73.67445926017727,500
86637,-61.652670330663526,500
86638,10.0,1
87138,-34.30470190489222,500
87143,9.841038393316163,5
87643,-67.58986187596375,500
88143,-23.54783109294013,500
88144,10.0,1
88644,-22.18120891683344,500
89144,-31.457509361248537,500
89644,-59.894052667104745,500
90144,-35.17365552446488,500
90644,-24.596039316062797,500
91144,-64.75929058661693,500
91644,-38.4522862875293,500
92144,-32.31060004114517,500
92644,-82.83970059724233,500
93144,-53.12564427763468,500
93644,-58.41945629741268,500
94144,-34.60380128426811,500
94145,9.989044626593607,1
94645,-45.66077144008916,500
95145,-47.04447372225761,500
95645,-32.27209881799341,500
96145,-21.89002842979484,500
96645,-61.090673974465524,500
97145,-31.323543504694012,500
97645,-53.61246450344815,500
98145,-37.67693485472848,500
98645,-72.80705815025668,500
99145,-44.12327187212549,500
99645,-23.677821582467047,500
100145,-37.942178363218055,500
100146,10.0,1
100147,10.0,1
100647,-98.18879123503234,500
101147,-51.613683178614295,500
101647,-38.93635902799942,500
102147,-61.80918085405122,500
102647,-35.76297735578734,500
102650,9.940131876320123,3
103150,-49.97126831409298,500
103650,-43.41305859418672,500
104150,-81.29722237664599,500
104151,10.0,1
104153,9.956757829508717,2
104653,-56.82178424388002,500
105153,-59.562557136997306,500
105653,-45.83274393589469,500
106153,-35.914805329980815,500
106653,-60.19640745742109,500
106660,9.651653512124343,7
107160,-57.30771958794656,500
107660,-35.57155476817292,500
108160,-26.50263832387407,500
108660,-56.879849296912965,500
109160,-46.40962454649287,500
109660,-43.29661941342834,500
110160,-49.290073545653364,500
110660,-114.42520306005943,500
111160,-31.591053381003388,500
111660,-48.00599815489626,500
111661,10.0,1
112161,-36.22598189031963,500
112661,-36.95198218950115,500
113161,-19.047089921216003,500
113661,-52.43728971721187,500
114161,-79.23397312543608,500
114661,-39.32700750174907,500
115161,-68.14790736734656,500
115661,-65.1762708433162,500
115662,10.0,1
116162,-36.442215292223345,500
116662,-39.48315041704773,500
116664,9.975134564824499,2
117164,-45.98484111357916,500
117167,9.918774370716815,3
117173,9.811433588109406,6
117175,9.97484233902326,2
117675,-35.63818145054047,500
117680,9.824514788911541,5
118180,-37.35881233421148,500
118680,-17.988077523768233,500
119180,-42.089793112752645,500
119645,-4.524669401860791,465
120145,-39.59505415429263,500
120645,-32.76946655493234,500
121145,-77.66849514152001,500
121645,-76.73363997843282,500
122145,-108.85802535092735,500
122645,-39.216662253453535,500
123145,-52.307292979770985,500
123645,-49.034490474529534,500
124145,-64.74879730166839,500
124645,-36.991199668582716,500
125145,-70.0002935040036,500
125645,-50.65715878873429,500
126145,-41.99898070082953,500
126645,-41.45989738435972,500
127145,-35.60210647550397,500
127645,-38.51690117660577,500
128145,-57.00375559400737,500
128645,-30.155161248570028,500
