steps,reward,lenght
0,0,0
499,-98.66441880885291,499
999,-106.626311510977,500
1017,9.835018327239162,18
1517,-97.92221406348746,500
1518,10.0,1
2018,-20.979090201940714,500
2518,-21.947472547048545,500
3018,-73.77118355266298,500
3518,-107.14646105305339,500
4018,-99.0871899602748,500
4518,-107.58828518862681,500
5018,-26.015298673495746,500
5254,-1.8546082011891318,236
5754,-70.56972021054496,500
6016,6.449988532720242,262
6054,9.604991709097487,38
6554,-19.26825602237246,500
6565,9.896583246975174,11
7065,-21.08728911384915,500
7153,6.606679597670919,88
7653,-92.31133916846001,500
7667,9.86011749172619,14
8167,-102.43810018581327,500
8667,-104.13007149319272,500
8670,9.984592910141522,3
8680,9.907720997823366,10
9180,-102.08540756122828,500
9208,9.707527891582552,28
9209,10.0,1
9709,-103.1706170403334,500
9710,10.0,1
10210,-101.73267900852562,500
10710,-105.75052468709416,500
11210,-104.22572355236609,500
11710,-104.42310210097473,500
12210,-104.1235191380015,500
12710,-106.42220083315229,500
13210,-105.98707572515329,500
13710,-103.46128632080168,500
14210,-101.75621440349501,500
14710,-103.56327635073016,500
15210,-105.14051323771686,500
15710,-101.44227723885402,500
16210,-103.28563899836472,500
16710,-104.57465367691111,500
17210,-99.64833992391344,500
17710,-100.05999719648307,500
17729,6.272445969819431,19
18229,-91.46151299849795,500
18729,-105.1544348381251,500
19229,-103.60577957753549,500
19729,-103.08663447013909,500
19751,9.752429755608647,22
20251,-104.28185104133142,500
20751,-103.16118858189094,500
21251,-104.04721031403795,500
21252,10.0,1
21752,-103.62462129421347,500
22252,-105.20291282940528,500
22275,9.718381823755891,23
22775,-103.8479921886678,500
23275,-105.33199577803398,500
23775,-105.13009108725201,500
24275,-103.37841261974658,500
24775,-102.10430078155268,500
25275,-102.31367648393321,500
25775,-104.48269527123969,500
26275,-101.82030477620981,500
26775,-100.4735557289809,500
27275,-106.74702042571695,500
27775,-103.46148662607253,500
28275,-104.23147475771339,500
28775,-104.56235292968177,500
29275,-104.46831516233753,500
29278,9.985615434426776,3
29778,-102.32019025216192,500
30278,-104.75355319193822,500
30778,-105.59049334609762,500
31278,-103.84436893940693,500
31778,-105.39706946752425,500
32278,-105.92324609291352,500
32778,-104.20234669702047,500
33278,-103.2076841060745,500
33778,-103.71250117651216,500
34278,-105.37251358604914,500
34778,-106.98628847799837,500
34780,9.993200495307887,2
35280,-103.51399004477773,500
35780,-107.27461284427373,500
35781,10.0,1
36281,-98.51878905422113,500
36781,-104.24428009126007,500
37281,-101.51005443904387,500
37781,-105.7489683827166,500
38281,-103.96207268792918,500
38781,-102.15581629446079,500
38782,10.0,1
39282,-103.85787112326061,500
39283,10.0,1
39783,-101.95882679128587,500
40283,-102.93054973610741,500
40783,-104.45109564383316,500
41283,-106.22397051300884,500
41289,9.960020338359463,6
41789,-100.01365742388204,500
42289,-104.03566123617247,500
42789,-106.4031439639652,500
43289,-105.65832088600617,500
43789,-104.29443400351167,500
44289,-105.6644545474279,500
44789,-105.09169954366043,500
45289,-103.9744496680295,500
45789,-105.32095640675912,500
45790,10.0,1
46290,-100.18842783667053,500
46790,-106.14515424002902,500
47290,-101.9031316417937,500
47790,-100.94198637523466,500
47791,9.996308594335344,1
48291,-104.82703312740907,500
48292,10.0,1
48792,-103.52297323516075,500
49292,-104.9703875348541,500
49792,-104.30050325173494,500
50292,-99.59557709859182,500
50792,-98.60201128269658,500
51292,-102.91804888353082,500
