steps,reward,lenght
0,0,0
500,-145.8230671757617,500
562,1.8975862264315957,62
1062,-47.959979615378764,500
1077,9.575311956362203,15
1078,10.0,1
1085,9.878573642775475,7
1585,-102.73739244853977,500
2085,-210.5568524537361,500
2094,9.8131895231159,9
2594,-207.43967721585273,500
2598,9.936966942056213,4
3098,-208.96478853594147,500
3598,-209.8971733893634,500
4098,-207.61148331059653,500
4099,10.0,1
4599,-211.9102941567063,500
4600,10.0,1
5100,-207.21295244586196,500
5600,-210.5620107884715,500
5601,10.0,1
6101,-206.06194546004133,500
6349,-91.85649458348824,248
6350,10.0,1
6358,9.850683730815863,8
6858,-210.7787175496473,500
7358,-212.5786623118148,500
7858,-207.4985132893944,500
7862,9.938801825960333,4
8362,-207.67364279172006,500
8363,10.0,1
8367,9.946881047752566,4
8644,-100.64478108301984,277
9144,-208.79651807249093,500
9644,-176.28588692788853,500
9645,10.0,1
10145,-212.00747351882592,500
10645,-213.44367013081927,500
11145,-212.8490639647037,500
11645,-207.40061551379824,500
11651,9.895525609435316,6
12151,-207.1335517010774,500
12651,-209.39228088216865,500
13151,-206.66239479618957,500
13651,-210.0730143223132,500
14151,-210.33989221569144,500
14651,-209.6706780017793,500
15151,-210.9465695167032,500
15651,-209.8955228708516,500
15654,9.969526865749387,3
16154,-196.49966332189834,500
16654,-213.3406553155208,500
17154,-208.78308786382587,500
17654,-208.2584768246786,500
18154,-205.73513079093433,500
18654,-207.16898814346203,500
19154,-211.80519043297784,500
19654,-214.3656139977708,500
20154,-208.6085431303029,500
20654,-209.85582751339305,500
21154,-210.0821941414077,500
21654,-208.35989780355126,500
22154,-195.06336908024588,500
22654,-209.34175765888583,500
23154,-208.1634679936052,500
23654,-212.16915716988674,500
23656,9.986236232890269,2
24156,-208.79454411337917,500
24656,-208.585826045261,500
25156,-194.65490999647741,500
25656,-211.03124371444522,500
26156,-213.43895125232805,500
26161,9.93122274568316,5
26661,-209.2149156922052,500
27161,-207.13034255150828,500
27164,9.959053954364034,3
27664,-209.39854171784006,500
28164,-206.65258985540865,500
28165,9.996294197104225,1
28665,-207.4163006573275,500
29165,-209.04513341412095,500
29665,-207.5017543386637,500
30165,-206.95949092569458,500
30166,10.0,1
30666,-208.5171542557674,500
31166,-185.52729898537677,500
31666,-208.44503024916054,500
32166,-207.6462243457218,500
32666,-206.90657200645342,500
33166,-201.2433696364663,500
33666,-212.80926693535574,500
33667,10.0,1
34167,-210.6991817721864,500
34667,-211.9280457130141,500
35167,-208.76176922519826,500
35667,-209.66778639956615,500
35675,9.82729033854674,8
35678,9.954788049122477,3
36178,-211.36558876341832,500
36182,9.930156459808508,4
36682,-209.66265852439886,500
37182,-209.81660969356474,500
37682,-212.37525243420652,500
38182,-212.54136100694922,500
38682,-207.08038684878798,500
39182,-209.70697891225245,500
39682,-208.75674453152192,500
40182,-206.50249740466677,500
40682,-211.55108334203734,500
41182,-206.22044790921044,500
41183,10.0,1
41191,9.849918396442057,8
41691,-206.51787259367154,500
42191,-211.72581074092443,500
42691,-212.6360237820126,500
43191,-211.822922327755,500
43691,-202.20439296927321,500
44191,-210.38472750933656,500
44691,-212.27798546807253,500
45191,-207.74800475078882,500
45691,-213.52200953749164,500
46191,-208.84912566357977,500
46195,9.930735119153692,4
46695,-210.08239041111156,500
47195,-208.9998312532167,500
47695,-210.39791880427478,500
48195,-212.73133416898276,500
48695,-209.30196103589864,500
49195,-208.69410183911006,500
49695,-212.5964956547254,500
49696,9.99226478388885,1
50196,-206.30406947379285,500
