steps,reward,lenght
0,0,0
4,9.938548488037005,4
504,-76.9988496427657,500
508,9.933922163931562,4
1008,-110.87602476110703,500
1508,-211.332035331498,500
1513,9.914142805037178,5
2013,-194.665006782263,500
2513,-154.95658346425265,500
2517,9.932726877321512,4
3017,-118.85286005926007,500
3517,-166.73432718926693,500
4017,-161.169825938016,500
4517,-199.53713268993226,500
5017,-202.96157198924402,500
5517,-201.17526102341068,500
6017,-199.181141642673,500
6020,9.952181802790856,3
6520,-206.4611370224705,500
7020,-205.14933773435936,500
7520,-207.08267966758405,500
8020,-211.86035933938174,500
8520,-212.22568015013093,500
9020,-210.37860274220836,500
9520,-207.03918251636793,500
10020,-207.3293139842077,500
10484,-175.44210377436258,464
10485,10.0,1
10493,9.645828702423593,8
10993,-208.42151950049097,500
11493,-211.7084910354812,500
11759,-98.85376618627326,266
12259,-211.54174453057743,500
12272,9.697535516261674,13
12772,-212.29430829435975,500
13272,-211.84129270024948,500
13273,10.0,1
13276,9.960531296165373,3
13282,9.890983052299346,6
13782,-206.79984868614747,500
14282,-210.31112535811278,500
14782,-206.6104110027416,500
15282,-210.9769930159231,500
15782,-210.58621884019428,500
16282,-208.927566864352,500
16782,-211.60941990688312,500
17282,-206.56945964476623,500
17782,-212.49472444451058,500
18282,-208.7103958379222,500
18782,-207.10585126237746,500
19282,-207.5556172341719,500
19782,-208.73135679669025,500
20081,-109.46794722791174,299
20581,-208.79570376024168,500
20585,9.941273460228587,4
21085,-210.0322206373742,500
21585,-204.58763084972813,500
22085,-210.4976715529592,500
22585,-207.30972208066018,500
23085,-199.7143343041527,500
23585,-206.52972285841636,500
23588,9.97091874237869,3
24088,-208.9946406727194,500
24588,-208.68367331119498,500
25088,-209.39301773448537,500
25588,-205.15399293915098,500
26088,-213.08599606405562,500
26588,-212.12863036726608,500
27088,-210.02222624682372,500
27588,-209.3556477503963,500
28072,-185.60117611430155,484
28572,-210.54362295018322,500
29072,-209.64150204645824,500
29080,9.856082923469694,8
29580,-208.53241370351085,500
30080,-206.0264009096696,500
30580,-209.8730419334551,500
31080,-202.3222317812136,500
31580,-209.29626291705887,500
32080,-212.94853848296364,500
32580,-209.03099401196556,500
33080,-208.12768325647124,500
33580,-205.009325964236,500
34080,-206.37328084812867,500
34580,-210.79835843008934,500
35080,-210.1612591552435,500
35580,-210.77908478463866,500
36080,-211.86991517027968,500
36580,-212.1151638323831,500
37080,-204.9538116422004,500
37085,9.901145750786263,5
37585,-208.9363454246819,500
38085,-208.24225853824746,500
38585,-209.5775205883681,500
39085,-207.72998564732805,500
39088,9.969159367197898,3
39588,-209.9005651948981,500
40088,-210.22106064950052,500
40588,-207.27762161496523,500
41088,-211.35529007453346,500
41588,-209.8658599887731,500
41595,9.863716660031404,7
42095,-208.58286684991,500
42551,-175.07052959293716,456
43051,-212.96766003684587,500
43551,-211.1139059559793,500
44051,-208.4696278431221,500
44551,-209.47748163993654,500
45051,-206.11283184334772,500
45551,-207.20667505222283,500
46051,-207.64234018296824,500
46551,-210.79820429687814,500
47051,-209.1423740098797,500
47551,-205.91708825382358,500
48051,-208.66926215324486,500
48551,-207.79624362398712,500
49051,-208.53224972085286,500
49551,-209.27513677118438,500
49556,9.929537235970006,5
50056,-207.2918390731908,500
50556,-209.46578517263188,500
51056,-206.27322804003396,500
51556,-208.97386093474165,500
52056,-208.8122699697444,500
52057,10.0,1
52557,-209.62011117968746,500
53057,-208.74633583910256,500
53557,-206.44614361632262,500
54057,-209.44748167095818,500
54557,-209.47555682129342,500
55057,-207.93708705536156,500
55557,-213.74761821953,500
56057,-201.42570615079234,500
56063,9.907010109863917,6
56563,-205.13108781010624,500
57063,-205.51812467692884,500
57069,9.894185210760053,6
57569,-208.3887980274055,500
58069,-208.80757449722918,500
