steps,reward,lenght
0,0,0
75,-59.652543005423155,75
150,-43.02301960013852,75
225,-62.134406271937,75
300,-55.9144193463672,75
375,-62.77292885868561,75
380,9.805134226554399,5
455,-41.73132637360787,75
530,-62.420174956587196,75
562,-10.323187165151763,32
637,-61.72189438930113,75
712,-63.90874475319479,75
787,-58.91035574980507,75
862,-63.38551010632797,75
937,-56.832075149934525,75
938,10.0,1
939,10.0,1
1014,-61.26321517342277,75
1015,9.987852723898223,1
1090,-62.07308573001179,75
1165,-61.782881670046386,75
1240,-53.93842201640396,75
1315,-63.58054120324038,75
1390,-63.54115301641761,75
1391,10.0,1
1392,10.0,1
1467,-61.950960121735385,75
1542,-64.46207168259522,75
1617,-63.36787743078486,75
1692,-63.17124696722703,75
1693,10.0,1
1694,10.0,1
1769,-62.83314814994273,75
1844,-62.922305822417876,75
1852,4.1592791435838885,8
1927,-58.32007055690261,75
2002,-63.556919859456144,75
2077,-63.024631631028605,75
2152,-62.445936051884736,75
2155,9.89520223224742,3
2230,-60.46527503220896,75
2305,-63.06144957907834,75
2380,-63.18307833570142,75
2455,-53.697957525196124,75
2530,-62.5652828325371,75
2605,-63.32803641923649,75
2680,-63.063074070062285,75
2755,-53.16640412080977,75
2756,9.978956191309525,1
2757,10.0,1
2832,-63.295274401758626,75
2907,-62.35895091181052,75
2909,9.949217128122221,2
2984,-51.02414059067702,75
2985,10.0,1
2989,9.848700934281657,4
3064,-46.2971645035628,75
3069,9.034998384681217,5
3078,8.628219567167804,9
3153,-55.73040767073151,75
3228,-61.35060202972072,75
3303,-60.22852449558575,75
3378,-61.34073641077378,75
3453,-64.10480460206391,75
3528,-57.185611891341836,75
3603,-55.68829491459629,75
3608,9.87737293906962,5
3683,-46.47450087775224,75
3690,9.724471138459958,7
3765,-39.942420753277524,75
3840,-17.428528682270926,75
3915,-56.544901292645136,75
3990,-53.02373323279528,75
3991,10.0,1
4066,-43.94666249562123,75
4141,-63.03711489845986,75
4216,-48.57049981034859,75
4217,9.976501369524067,1
4231,8.811721682195369,14
4232,10.0,1
4307,-52.2285668377906,75
4382,-27.397611371809894,75
4457,-25.82026937818082,75
4532,-31.303750097503883,75
4538,9.731643246350746,6
4613,-21.023949954306655,75
4688,-38.067272598685435,75
4705,7.4463244513299145,17
4780,-36.398625916941675,75
4855,-14.454792679004688,75
4930,-11.61695249120375,75
4938,9.09258553364864,8
4939,9.99320238732822,1
4940,10.0,1
4941,10.0,1
5016,-6.8107514813586105,75
5091,-56.55905925873164,75
5137,-0.8322702380692579,46
5212,-30.774259606724144,75
5216,8.956404737659387,4
5217,10.0,1
5292,-56.84336535609723,75
5293,9.985615191875832,1
5368,-25.3479771959838,75
5371,9.891573136929503,3
5384,9.383939449556863,13
5386,9.960165517093953,2
5461,-4.607759192076154,75
5536,-9.449944695977543,75
5611,-19.58673288854969,75
5612,9.996456878900066,1
5687,-5.727784146817594,75
5762,-42.342004642013954,75
5837,-64.23489699890932,75
5884,-0.11478449305765714,47
5959,-35.952268417567375,75
6034,-29.497390189641596,75
6040,9.820789602106169,6
6115,-5.3772448863449025,75
6190,-9.515103983888903,75
6265,-25.10369861613713,75
6340,-13.979548158505922,75
6345,9.835830485245026,5
6364,3.0819187087503472,19
6368,9.835334951167443,4
6380,8.88965050236569,12
6381,10.0,1
6408,8.780326816031966,27
6483,-12.193409427979326,75
6558,-13.917701844783497,75
6565,9.748551952076292,7
6573,8.57402829820232,8
6604,7.075632133405972,31
6605,10.0,1
6608,9.918889766439444,3
6619,8.795228075415118,11
6677,6.386188548981986,58
6752,-8.982516191808681,75
6827,-7.104981767576222,75
6902,-14.541407270358429,75
6977,-8.747104757918635,75
6984,9.025188256095046,7
7059,-5.1755515885059316,75
7134,-24.42917017549029,75
7139,9.79971001771708,5
7140,9.988321311041378,1
7215,-7.2910167449985686,75
7290,-4.342344387711285,75
7291,10.0,1
7366,-24.818881833167914,75
7367,9.988930450956135,1
7368,9.986035457642211,1
7443,-28.45640485916152,75
7458,8.892889150590975,15
7533,-7.617243802989639,75
7577,7.123291515824356,44
7652,-12.131077049612154,75
7660,8.58966909362726,8
7665,7.52926225120603,5
7740,-7.293185065014132,75
7815,-5.159297037872359,75
7825,9.523859937087694,10
7830,9.808890387919282,5
7905,-10.300194362223845,75
7980,-16.18177030060519,75
8015,8.229649041389752,35
8056,7.786695342161517,41
8131,-4.981356700857969,75
8206,-3.849239392193281,75
8275,6.676800153666122,69
8293,9.147070084816594,18
8305,9.592289457135516,12
8380,-8.728672643383263,75
8455,-4.545419215335349,75
8487,8.40497102755712,32
8562,-8.658515927683606,75
8637,-5.149941128665462,75
8712,-6.567878853661509,75
8713,10.0,1
8723,8.404466791988822,10
8798,-29.574619345378704,75
8873,-36.406378288868666,75
8948,-5.153376021733808,75
9023,-4.477156068265617,75
9040,9.191820605676657,17
9055,9.218551456887157,15
9060,9.810087510607827,5
9135,-4.774080234534428,75
9136,10.0,1
9211,-4.160631291645018,75
9258,7.6595648859742385,47
9259,10.0,1
9260,10.0,1
9335,-40.96386161324814,75
9351,9.327550056660705,16
9352,10.0,1
9353,9.996067471456803,1
9356,8.227842343653773,3
9362,7.568889243109232,6
9414,3.1573091362871244,52
9415,10.0,1
9426,8.186488130409838,11
9438,9.411125429601396,12
9446,9.620778862505018,8
9447,10.0,1
9493,3.7749646829436854,46
9515,8.962002729826652,22
9590,-6.647534110518199,75
9591,10.0,1
9666,-4.663337416547952,75
9685,6.943967081017206,19
9741,1.06415579619099,56
9816,-6.874249808090086,75
9817,10.0,1
9829,7.701959320050997,12
9904,-42.054973249696395,75
9905,9.984797759832757,1
9935,5.442029966490485,30
9954,8.992608066013277,19
9961,8.759900015128776,7
10036,-3.7511709061724234,75
10069,8.10521114850366,33
10144,-4.51478599684081,75
10219,-5.255887531428752,75
10247,8.06035363153959,28
10254,7.283089194637023,7
10263,7.461805071641384,9
10338,-5.059099643894221,75
10351,9.475386313243877,13
10357,8.259062401531276,6
10361,9.842844773964433,4
10436,-4.905626592600606,75
10511,-4.20900701271184,75
10586,-15.587335934978507,75
10661,-6.0304443908472525,75
10736,-6.398302568158146,75
10811,-10.947519403010615,75
10818,9.52711218776848,7
10829,9.511875445897243,11
10904,-4.823362025057944,75
10979,-5.631856342723884,75
10986,8.257870270715149,7
11060,5.589990855904336,74
11135,-9.549681545244033,75
11141,9.743738266922074,6
11163,6.8480613256769285,22
11213,7.254483109209144,50
11220,9.708040361649017,7
11295,-5.213053149041392,75
11370,-6.964812721191647,75
11445,-12.31575600519281,75
